,state,city,occupation,salary,cpi_index,rent_index,restaurant_price_index,groceries_index,cpi_single,cpi_family,rent_single,rent_family,groceries_single,groceries_family,restaurant_single,restaurant_family
0,California,Cupertino,"Data Scientist, IT",125000.0,87.9237427121852,72.34498746476439,81.58303658789949,91.42007629730192,1720.9665856026859,5011.187338758183,1802.3234382109288,3377.957475450392,259.34961444781584,1296.7297882238197,649.2622800774805,1929.6019813769983
1,California,Irvine,"Data Scientist, IT",85295.36,78.19897953503381,56.280840151021515,76.19441343191448,82.38610194183315,1530.619906031031,4456.927378905392,1402.118942598384,2627.88468662555,233.72113259878645,1168.589185773544,606.3780004152051,1802.1502664916413
2,California,Los Angeles,"Data Scientist, IT",86269.74,78.00015668150301,58.8245356752999,77.04440732107268,86.13324443708926,1526.7282667897312,4445.59553001526,1465.4897748251788,2746.6558083385894,244.35140114357853,1221.7397790690052,613.1425067832928,1822.254321958011
3,California,Menlo Park,"Data Scientist, IT",86400.0,88.80449271541855,74.3357889254821,80.57538917732417,92.71021280028222,1738.2058577159733,5061.3854209674655,1851.920075921643,3470.9126740347347,263.00960269312066,1315.029471423043,641.2431196898989,1905.769104822071
4,California,Mountain View,"Data Scientist, IT",103042.0,88.80449271541855,74.45469644082486,81.23548678698016,92.71021280028224,1738.2058577159733,5061.3854209674655,1854.8824069606258,3476.464745358749,263.00960269312066,1315.0294714230433,646.4963744968243,1921.3817334856546
5,California,Palo Alto,"Data Scientist, IT",114109.51,88.80449271541855,74.69847511609082,82.01072722644962,92.71021280028222,1738.2058577159733,5061.3854209674655,1860.955640719659,3487.847344586804,263.00960269312066,1315.029471423043,652.6659704862541,1939.7177203599863
6,California,San Diego,"Data Scientist, IT",91324.0,62.44659841027246,43.98485639047013,73.04962381887397,70.34133153166468,1222.292249323627,3559.125142413956,1095.7903287701433,2053.756309283568,199.5513234221795,997.7425488445913,581.3508212377448,1727.7697025640068
7,California,San Francisco,"Data Scientist, IT",114060.42,89.97677643079977,74.69278806352919,80.82252407882157,91.6805964003635,1761.1514357906162,5128.199379640504,1860.8139597478964,3487.581802738128,260.0886839281912,1300.425083521676,643.2098933764858,1911.6143395122879
8,California,San Jose,"Data Scientist, IT",117109.79,87.37157290820353,72.68297470089568,81.53667668528558,91.06606070919574,1710.158745161431,4979.716586431188,1810.7436804259441,3393.738893775367,258.34530762591737,1291.7083249174452,648.8933340645083,1928.5054769603744
9,California,San Mateo,"Data Scientist, IT",104804.68,89.11942489402246,74.10396493025674,80.61627946703794,90.77066162371896,1744.3701512206592,5079.334886007342,1846.1446679109931,3460.0882669112734,257.5072899603283,1287.518295669317,641.5685368825281,1906.7362419543813
10,California,Santa Clara,"Data Scientist, IT",109926.79,87.9237427121852,72.34498746476439,80.76685109646455,91.42007629730192,1720.9665856026859,5011.187338758183,1802.3234382109288,3377.957475450392,259.34961444781584,1296.7297882238197,642.7668310809939,1910.2975621335795
11,California,Santa Monica,"Data Scientist, IT",88988.76,77.54781484457374,60.07812379756293,77.10265177550751,85.07650126727468,1517.8743990787796,4419.814442722027,1496.7202903563057,2805.1887836991377,241.35352644513156,1206.7506169254043,613.6060336250215,1823.6319197943035
12,California,San Mateo,"Data Scientist, IT",98263.52,88.80449271541855,74.45469644082486,81.23548678698016,92.71021280028224,1738.2058577159733,5061.3854209674655,1854.8824069606258,3476.464745358749,263.00960269312066,1315.0294714230433,646.4963744968243,1921.3817334856546
13,Colorado,Boulder,"Data Scientist, IT",72851.03,78.8156421668809,49.11190163804592,76.48397106999454,83.56811285243057,1542.6900903892267,4492.073880608727,1223.5198943184744,2293.150100449214,237.0743793510603,1185.355183132731,608.6823869663376,1808.9988837475107
14,Colorado,Denver,"Data Scientist, IT",79984.8,77.46174636067781,49.1968956325605,76.75220278947548,82.24460539693588,1516.189746216091,4414.908995302923,1225.6373412044165,2297.1186697889866,233.31972105056738,1166.5821563317577,610.8170554594827,1815.3431003766739
15,District of Columbia,Washington,"Data Scientist, IT",79280.37,90.28887282345134,49.001171262082345,81.85147954822261,93.83634559822664,1767.2602233225423,5145.987219910762,1220.7612795351313,2287.979838979091,266.2043288276092,1331.0028768689263,651.3986296886201,1935.9511942745612
16,Georgia,Atlanta,"Data Scientist, IT",87428.57,77.09035741323258,38.34027999761519,68.85490600376602,77.71819818483186,1508.9204017921666,4393.741793659967,955.1675615525875,1790.1977727466478,220.4787564305495,1102.3782385131108,547.9679984497711,1628.5562368010737
18,Indiana,Indianapolis,"Data Scientist, IT",64000.0,73.70217324329832,28.785402910569278,66.64775020181283,77.09005070907453,1442.6021177603752,4200.633253349815,717.1278641707214,1344.0581075913196,218.69676485657354,1093.4684062727258,530.402790431087,1576.3525877732768
30,Pennsylvania,Philadelphia,"Data Scientist, IT",88497.18,81.20000237637616,42.82978973812878,78.18365334909453,78.29918024004368,1589.360126513761,4627.969775440846,1067.0142687670286,1999.8235328791177,222.12694442297993,1110.6190622788517,622.208968448099,1849.1997690127837
20,Massachusetts,Cambridge,"Data Scientist, IT",80000.0,81.8847113033784,49.44702944896693,79.50588105854456,86.28076153360847,1602.7622082255466,4666.994555322661,1231.8688999591682,2308.798005491471,244.76989239469387,1223.8322058211627,632.7316532282152,1880.4730987966957
21,Missouri,Kansas City,"Data Scientist, IT",90000.0,70.25415549140264,31.066225183236007,67.67981059715868,71.09451149595073,1375.1126870954204,4004.114515985846,773.9497613674403,1450.55505943447,201.68801966286262,1008.425879412014,538.6162366753679,1600.7628802439967
22,Missouri,St. Louis,"Data Scientist, IT",88982.67,70.75903068843351,24.833293286122544,61.24222833918994,69.69506440062858,1384.9948112769844,4032.8897263780614,618.6693523078422,1159.524821768284,197.71792819814323,988.575701977836,487.38402579177534,1448.5011846785203
23,Minnesota,Minneapolis,"Data Scientist, IT",85134.35,80.43345599501248,38.80748941796104,72.43948417989097,85.70912680896663,1574.3562075727773,4584.280694398938,966.8071031207215,1812.0128785247334,243.14822184435744,1215.7239673964255,576.4951469488263,1713.338679822781
24,North Carolina,Charlotte,"Data Scientist, IT",82500.0,75.35043177412484,32.96130973164237,62.563640377323956,82.09741579159312,1474.864141287655,4294.575253836713,821.1618132134333,1539.041010448252,232.90215885917053,1164.4943748126943,497.9002192148573,1479.7552222044662
25,North Carolina,Raleigh,"Data Scientist, IT",90141.22,69.74550255958435,32.978483916084954,80.26645012142455,78.48358494336294,1365.1566197997684,3975.123994732742,821.5896719530328,1539.8429134792095,222.65008212582632,1113.234713912143,638.7844900013331,1898.4620782719335
26,New York,New York,"Data Scientist, IT",99199.95,89.3453611989042,60.012261670688936,93.51058682578838,86.2982826383532,1748.7924928906316,5092.212057923186,1495.0794737757064,2802.113526219393,244.81959801674418,1224.0807304271932,744.1853031356717,2211.7123996035466
27,Ohio,Cincinnati,"Data Scientist, IT",77425.48,69.33763409779569,28.061898786322804,79.06593020745284,65.57817944439138,1357.173247249794,3951.877654113636,699.1032782737814,1310.2759997955598,186.0387372657939,930.1805706930808,629.2303923699719,1870.0673812666744
28,Ohio,Cleveland,"Data Scientist, IT",65597.65,73.1959530305332,20.844566888518642,70.44012913320458,77.21736586522466,1432.6936670478385,4171.781384189331,519.2986104369761,973.2818127571236,219.05794522305584,1095.2742826421063,560.583679680782,1666.0499342585545
29,Oregon,Portland,"Data Scientist, IT",75000.0,74.42508867739515,39.2312912522825,66.74340781090521,74.66145953437595,1456.7520307181262,4241.835601641534,977.3652358389887,1831.8011821035132,211.80709455307112,1059.0205404734488,531.164062381527,1578.6150815435299
30,Pennsylvania,Philadelphia,"Data Scientist, IT",88497.18,81.20000237637616,42.82978973812878,78.18365334909453,78.29918024004368,1589.360126513761,4627.969775440846,1067.0142687670286,1999.8235328791177,222.12694442297993,1110.6190622788517,622.208968448099,1849.1997690127837
31,Texas,Austin,"Data Scientist, IT",82171.52,72.45797654460362,36.04775704764319,64.66943952794364,68.40571837101248,1418.2489580981444,4129.72063576672,898.05416655223,1683.1544887835225,194.0601824467253,970.2872310899523,514.6588005952339,1529.5615837149228
32,Texas,Dallas,"Data Scientist, IT",77669.8,68.87008120951425,32.73357625347288,65.83356454412814,68.48808098308668,1348.0216475463062,3925.2296175119022,815.4883118451446,1528.4075991788447,194.2938369409186,971.4554870883964,523.923256711535,1557.0954685977188
33,Texas,Houston,"Data Scientist, IT",91116.75,79.02270877609203,41.244471817361564,73.65761766832092,85.96643772578652,1546.7430879579597,4503.875579880732,1027.519401938747,1925.8013136613827,243.87818718428377,1219.3737426338737,586.1894186897985,1742.1499730911264
34,Tennessee,Nashville,"Data Scientist, IT",68261.47,71.87379271180336,34.91922472332651,64.38572692247135,74.54075164641509,1406.8144942652118,4096.42525347142,869.939153609761,1630.4606625102147,211.46465834571498,1057.3083835782456,512.4009305671038,1522.8512131702923
35,Texas,Plano,"Data Scientist, IT",85000.0,70.42897528570087,32.47284539170281,65.53193912409401,70.20012337269857,1378.5345048571373,4014.0783177159356,808.9927499589529,1516.233462525275,199.15072999600858,995.7396099553685,521.5228311312774,1549.9614241630713
36,Utah,Salt Lake City,"Data Scientist, IT",73614.13,66.75619894210956,28.313613180268682,67.66929282872118,63.36924906451675,1306.6457843734875,3804.7495318458523,705.3742137987157,1322.0291363777185,179.77222267112757,898.848439505825,538.5325331188118,1600.5141139849134
37,Virginia,McLean,"Data Scientist, IT",99192.14,90.08301577071433,46.56000907209009,81.26027616788163,91.19327568070993,1763.2309008864997,5134.254458947132,1159.9448500120732,2173.996239597206,258.706203778606,1293.5127802378938,646.6936558268524,1921.968051922736
38,Virginia,Reston,"Data Scientist, IT",93477.83,90.43543051205565,47.75236786070317,81.33526598585237,94.33924897841932,1770.12885558467,5154.340231405458,1189.6499652769119,2229.6702734807036,267.63101542687775,1338.1362092845932,647.290447295209,1923.7417110973804
39,Virginia,Richmond,"Data Scientist, IT",95000.0,70.98128646507124,34.34522391947793,72.85306480706821,75.06766842891314,1389.3451124954254,4045.557127690796,855.6391289835617,1603.6592160766354,212.95946856598368,1064.7823292962325,579.786545654091,1723.1206888167771
40,Washington,Bellevue,"Data Scientist, IT",111968.75,84.81735715067647,43.47216137720912,77.35903317278179,89.01922585388533,1660.1640584530508,4834.139825595661,1083.017609174273,2029.8173742811305,252.5386418248873,1262.6754052792658,615.6463936989493,1829.6958526026347
41,Washington,Seattle,"Data Scientist, IT",100529.55,84.34326837669661,43.13538175060007,79.77588693958263,88.69115772374336,1650.8845292444335,4807.119278149311,1074.6274520145244,2014.0923420826311,251.60794534648755,1258.021988500893,634.8804410312805,1886.8592778950083
