,occupation,state,city,total_cash_comp_md_pay,base_salary_md_pay,bonus_med_pay,sample_size,last_reviewed
0,"Data Scientist, IT",California,Cupertino,130000,125000,14000,6,2018-01-10T14:56:09.8427599-08:00
1,"Data Scientist, IT",California,Irvine,86955.19,85295.36,7500,16,2018-01-05T02:53:31.5132805-08:00
2,"Data Scientist, IT",California,Los Angeles,85000.05,86269.74,4000,24,2018-01-10T14:46:11.6752289-08:00
3,"Data Scientist, IT",California,Menlo Park,86400,86400,13265.57,5,2018-01-04T06:30:44.8894913-08:00
4,"Data Scientist, IT",California,Mountain View,114650.24,103042,9932.93,28,2018-01-10T14:46:32.5088419-08:00
5,"Data Scientist, IT",California,Palo Alto,95000,114109.51,10173.65,21,2018-01-03T14:26:17.3114035-08:00
6,"Data Scientist, IT",California,San Diego,88562.51,91324,6000,31,2018-01-08T23:41:26.7304053-08:00
7,"Data Scientist, IT",California,San Francisco,116364,114060.42,9787.14,188,2018-01-04T11:25:01.170436-08:00
8,"Data Scientist, IT",California,San Jose,120321.32,117109.79,13756.89,22,2018-01-10T00:14:17.4189061-08:00
9,"Data Scientist, IT",California,San Mateo,104804.68,104804.68,,6,2018-01-05T21:43:37.847873-08:00
10,"Data Scientist, IT",California,Santa Clara,109000,109926.79,20000,10,2018-01-10T14:51:50.583376-08:00
11,"Data Scientist, IT",California,Santa Monica,88988.76,88988.76,,6,2018-01-09T23:44:54.5166241-08:00
12,"Data Scientist, IT",California,Sunnyvale,100395.13,98263.52,10000,9,2018-01-04T06:30:40.187462-08:00
13,"Data Scientist, IT",Colorado,Boulder,72851.03,72851.03,,5,2018-01-10T14:47:40.3525233-08:00
14,"Data Scientist, IT",Colorado,Denver,82772.16,79984.8,4913.18,16,2018-01-03T21:08:25.6236637-08:00
15,"Data Scientist, IT",District of Columbia,Washington,80234.73,79280.37,1500,55,2018-01-04T16:15:46.0719986-08:00
16,"Data Scientist, IT",Georgia,Atlanta,88344.43,87428.57,4000,20,2018-01-04T06:30:37.9626948-08:00
17,"Data Scientist, IT",Illinois,Chicago,81535.66,79423.2,5932.18,77,2018-01-06T04:33:55.0132443-08:00
18,"Data Scientist, IT",Indiana,Indianapolis,60500,64000,3930.54,8,2018-01-03T07:48:29.5452885-08:00
19,"Data Scientist, IT",Massachusetts,Boston,88350.83,87729.95,6144.51,54,2018-01-04T19:22:11.8868834-08:00
20,"Data Scientist, IT",Massachusetts,Cambridge,83972.68,80000,,8,2018-01-04T06:30:39.8787719-08:00
21,"Data Scientist, IT",Missouri,Kansas City,88437.17,90000,10000,7,2018-01-09T03:02:47.1015159-08:00
22,"Data Scientist, IT",Missouri,St. Louis,95000,88982.67,5113.82,7,2018-01-06T08:35:13.2995033-08:00
23,"Data Scientist, IT",Minnesota,Minneapolis,85963.84,85134.35,4500,27,2018-01-03T12:14:23.2336997-08:00
24,"Data Scientist, IT",North Carolina,Charlotte,82500,82500,1000,6,2018-01-10T14:55:59.6019479-08:00
25,"Data Scientist, IT",North Carolina,Raleigh,92182.07,90141.22,5000,16,2018-01-09T05:03:26.3730533-08:00
26,"Data Scientist, IT",New York,New York,100256.58,99199.95,9691.14,153,2018-01-04T07:46:17.8810745-08:00
27,"Data Scientist, IT",Ohio,Cincinnati,76841.48,77425.48,5000,11,2018-01-10T02:09:59.7322531-08:00
28,"Data Scientist, IT",Ohio,Cleveland,66268.05,65597.65,5000,20,2018-01-03T14:26:23.6980936-08:00
29,"Data Scientist, IT",Oregon,Portland,75000,75000,8000,10,2018-01-10T03:44:34.5611247-08:00
30,"Data Scientist, IT",Pennsylvania,Philadelphia,88497.18,88497.18,3500,8,2018-01-04T06:30:44.9429197-08:00
31,"Data Scientist, IT",Texas,Austin,86831.22,82171.52,8750,33,2018-01-05T20:39:49.3470618-08:00
32,"Data Scientist, IT",Texas,Dallas,83359.76,77669.8,3750,24,2018-01-04T23:23:41.4440565-08:00
33,"Data Scientist, IT",Texas,Houston,94545,91116.75,17000,10,2018-01-10T14:48:24.7715831-08:00
34,"Data Scientist, IT",Tennessee,Nashville,69496.4,68261.47,5086.82,8,2018-01-04T06:30:38.9717775-08:00
35,"Data Scientist, IT",Texas,Plano,85000,85000,6500,5,2018-01-04T06:30:40.2114601-08:00
36,"Data Scientist, IT",Utah,Salt Lake City,75818.01,73614.13,9863.26,17,2018-01-10T14:51:04.5932056-08:00
37,"Data Scientist, IT",Virginia,McLean,108542.56,99192.14,11021.9,14,2018-01-09T01:18:42.2677448-08:00
38,"Data Scientist, IT",Virginia,Reston,99925.67,93477.83,7250,5,2018-01-04T06:30:38.9335433-08:00
39,"Data Scientist, IT",Virginia,Richmond,104250,95000,8000,6,2018-01-09T08:13:42.3201261-08:00
40,"Data Scientist, IT",Washington,Bellevue,121846.15,111968.75,13125,8,2018-01-10T14:48:35.9635771-08:00
41,"Data Scientist, IT",Washington,Seattle,102776.87,100529.55,9400,72,2018-01-04T17:40:18.6494786-08:00
